"","class","gene_id","Function.classification","function.","note.location","gene_name","Description","fc","log2.fc.","pval","qval","regulation","GO","KEGG","KO_ENTRY","EC","significant"
"87","Hormones/growth factors","ENSBTAG00000016218","hormone","catalyzes the conversion of prostaglandin H2 to prostaglandin E2","","PTGES2","prostaglandin E synthase 2 ",0.47,-1.09,0,0,"down","GO:0000139(Golgi membrane);GO:0001516(prostaglandin biosynthetic process);GO:0003677(DNA binding);GO:0005515(protein binding);GO:0005634(nucleus);GO:0005737(cytoplasm);GO:0005739(mitochondrion);GO:0005794(Golgi apparatus);GO:0005829(cytosol);GO:0006629(lipid metabolic process);GO:0006631(fatty acid metabolic process);GO:0006633(fatty acid biosynthetic process);GO:0006693(prostaglandin metabolic process);GO:0009055(electron transfer activity);GO:0015035(protein disulfide oxidoreductase activity);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0016829(lyase activity);GO:0016853(isomerase activity);GO:0020037(heme binding);GO:0022900(electron transport chain);GO:0043295(glutathione binding);GO:0045454(cell redox homeostasis);GO:0045893(positive regulation of transcription, DNA-templated);GO:0046903(secretion);GO:0050220(prostaglandin-E synthase activity);GO:0055114(oxidation-reduction process);GO:0055114(oxidation-reduction process)","00590(Arachidonic acid metabolism);00590(Arachidonic acid metabolism)","K05309","EC:5.3.99.3","yes"
"89","Hormones/growth factors","ENSBTAG00000014127","hormone","catalyze the rate-limiting step of prostaglandin production","","PTGS2","prostaglandin-endoperoxide synthase 2 ",2.63,1.39,0,0,"up","GO:0000212(meiotic spindle organization);GO:0001516(prostaglandin biosynthetic process);GO:0001550(ovarian cumulus expansion);GO:0001934(positive regulation of protein phosphorylation);GO:0004601(peroxidase activity);GO:0004666(prostaglandin-endoperoxide synthase activity);GO:0005737(cytoplasm);GO:0005783(endoplasmic reticulum);GO:0006954(inflammatory response);GO:0006979(response to oxidative stress);GO:0007566(embryo implantation);GO:0008217(regulation of blood pressure);GO:0019371(cyclooxygenase pathway);GO:0019899(enzyme binding);GO:0020037(heme binding);GO:0031394(positive regulation of prostaglandin biosynthetic process);GO:0031622(positive regulation of fever generation);GO:0033138(positive regulation of peptidyl-serine phosphorylation);GO:0040019(positive regulation of embryonic development);GO:0042127(regulation of cell population proliferation);GO:0042803(protein homodimerization activity);GO:0043005(neuron projection);GO:0043066(negative regulation of apoptotic process);GO:0043154(negative regulation of cysteine-type endopeptidase activity involved in apoptotic process);GO:0046697(decidualization);GO:0050873(brown fat cell differentiation);GO:0055114(oxidation-reduction process);GO:0071347(cellular response to interleukin-1);GO:0071456(cellular response to hypoxia);GO:0071471(cellular response to non-ionic osmotic stress);GO:0071498(cellular response to fluid shear stress);GO:0090336(positive regulation of brown fat cell differentiation);GO:0098869(cellular oxidant detoxification);GO:0150077(regulation of neuroinflammatory response);GO:1900195(positive regulation of oocyte maturation);GO:1902219(negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress);GO:1904146(positive regulation of meiotic cell cycle process involved in oocyte maturation)","00590(Arachidonic acid metabolism);04064(NF-kappa B signaling pathway);04370(VEGF signaling pathway);04625(C-type lectin receptor signaling pathway);04657(IL-17 signaling pathway);04668(TNF signaling pathway);04723(Retrograde endocannabinoid signaling);04726(Serotonergic synapse);04913(Ovarian steroidogenesis);04921(Oxytocin signaling pathway);04923(Regulation of lipolysis in adipocytes);05140(Leishmaniasis);05163(Human cytomegalovirus infection);05165(Human papillomavirus infection);05167(Kaposi sarcoma-associated herpesvirus infection);05200(Pathways in cancer);05204(Chemical carcinogenesis);05206(MicroRNAs in cancer);05222(Small cell lung cancer)","K11987","EC:1.14.99.1","yes"
"90","Hormones/growth factors","ENSBTAG00000001335","Growth Hormone","","","GHR","growth hormone receptor ",2.26,1.18,0.01,0.03,"up","GO:0004896(cytokine receptor activity);GO:0004903(growth hormone receptor activity);GO:0005515(protein binding);GO:0005829(cytosol);GO:0005886(plasma membrane);GO:0009897(external side of plasma membrane);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0017046(peptide hormone binding);GO:0019221(cytokine-mediated signaling pathway);GO:0019838(growth factor binding);GO:0019955(cytokine binding);GO:0036464(cytoplasmic ribonucleoprotein granule);GO:0043235(receptor complex);GO:0046427(positive regulation of receptor signaling pathway via JAK-STAT);GO:0050731(positive regulation of peptidyl-tyrosine phosphorylation);GO:0060396(growth hormone receptor signaling pathway);GO:0070195(growth hormone receptor complex)","04060(Cytokine-cytokine receptor interaction);04080(Neuroactive ligand-receptor interaction);04151(PI3K-Akt signaling pathway);04630(Jak-STAT signaling pathway)","K05080",NA,"yes"
"91","Hormones/growth factors","ENSBTAG00000007164","growth factor","","","FGFR3","fibroblast growth factor receptor 3 ",2.76,1.46,0,0,"up","GO:0000165(MAPK cascade);GO:0000166(nucleotide binding);GO:0002009(morphogenesis of an epithelium);GO:0004672(protein kinase activity);GO:0004713(protein tyrosine kinase activity);GO:0004714(transmembrane receptor protein tyrosine kinase activity);GO:0005007(fibroblast growth factor-activated receptor activity);GO:0005524(ATP binding);GO:0005764(lysosome);GO:0005783(endoplasmic reticulum);GO:0005794(Golgi apparatus);GO:0005886(plasma membrane);GO:0005887(integral component of plasma membrane);GO:0006468(protein phosphorylation);GO:0007169(transmembrane receptor protein tyrosine kinase signaling pathway);GO:0007267(cell-cell signaling);GO:0008284(positive regulation of cell population proliferation);GO:0008285(negative regulation of cell population proliferation);GO:0008543(fibroblast growth factor receptor signaling pathway);GO:0009898(cytoplasmic side of plasma membrane);GO:0010518(positive regulation of phospholipase activity);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0016301(kinase activity);GO:0016310(phosphorylation);GO:0016740(transferase activity);GO:0017134(fibroblast growth factor binding);GO:0018108(peptidyl-tyrosine phosphorylation);GO:0030133(transport vesicle);GO:0030900(forebrain development);GO:0031398(positive regulation of protein ubiquitination);GO:0042531(positive regulation of tyrosine phosphorylation of STAT protein);GO:0042802(identical protein binding);GO:0043065(positive regulation of apoptotic process);GO:0043235(receptor complex);GO:0043410(positive regulation of MAPK cascade);GO:0043552(positive regulation of phosphatidylinositol 3-kinase activity);GO:0045597(positive regulation of cell differentiation);GO:0046777(protein autophosphorylation);GO:0048471(perinuclear region of cytoplasm);GO:0048839(inner ear development);GO:0050680(negative regulation of epithelial cell proliferation);GO:0050731(positive regulation of peptidyl-tyrosine phosphorylation);GO:0060113(inner ear receptor cell differentiation);GO:0070374(positive regulation of ERK1 and ERK2 cascade);GO:1902178(fibroblast growth factor receptor apoptotic signaling pathway);GO:1902178(fibroblast growth factor receptor apoptotic signaling pathway)","01521(EGFR tyrosine kinase inhibitor resistance);04010(MAPK signaling pathway);04014(Ras signaling pathway);04015(Rap1 signaling pathway);04144(Endocytosis);04151(PI3K-Akt signaling pathway);04550(Signaling pathways regulating pluripotency of stem cells);04810(Regulation of actin cytoskeleton);05200(Pathways in cancer);05206(MicroRNAs in cancer);05219(Bladder cancer);05230(Central carbon metabolism in cancer);05230(Central carbon metabolism in cancer)","K05094","EC:2.7.10.1","yes"
"93","Hormones/growth factors","ENSBTAG00000000397","growth factor signaling"," FGF signaling","","CNPY1","canopy FGF signaling regulator 1 ",1033.64,10.01,0.03,0.08,"up","GO:0005783(endoplasmic reticulum);GO:0005783(endoplasmic reticulum)",NA,"K22936",NA,"yes"
"94","Hormones/growth factors","ENSBTAG00000013688","Growth Factor","","","PGF","placental growth factor ",25.63,4.68,0,0,"up","GO:0001525(angiogenesis);GO:0001658(branching involved in ureteric bud morphogenesis);GO:0001666(response to hypoxia);GO:0001934(positive regulation of protein phosphorylation);GO:0001938(positive regulation of endothelial cell proliferation);GO:0002040(sprouting angiogenesis);GO:0005172(vascular endothelial growth factor receptor binding);GO:0005576(extracellular region);GO:0005615(extracellular space);GO:0007275(multicellular organism development);GO:0008083(growth factor activity);GO:0008284(positive regulation of cell population proliferation);GO:0010469(regulation of signaling receptor activity);GO:0016020(membrane);GO:0030154(cell differentiation);GO:0038084(vascular endothelial growth factor signaling pathway);GO:0042056(chemoattractant activity);GO:0045766(positive regulation of angiogenesis);GO:0048010(vascular endothelial growth factor receptor signaling pathway);GO:0050918(positive chemotaxis);GO:0050930(induction of positive chemotaxis);GO:0051781(positive regulation of cell division);GO:0060688(regulation of morphogenesis of a branching structure);GO:0060754(positive regulation of mast cell chemotaxis);GO:0060754(positive regulation of mast cell chemotaxis)","04010(MAPK signaling pathway);04014(Ras signaling pathway);04015(Rap1 signaling pathway);04151(PI3K-Akt signaling pathway);04510(Focal adhesion);05200(Pathways in cancer);05200(Pathways in cancer)","K16859",NA,"yes"
"95","Hormones/growth factors","ENSBTAG00000000027","Growth Factor","","","IGFL1","IGF like family member 1 ",5.87,2.55,0,0,"up","GO:0005102(signaling receptor binding);GO:0005615(extracellular space)",NA,NA,NA,"yes"
"96","Hormones/growth factors","ENSBTAG00000033299","Growth Factor","","","IGFALS","insulin like growth factor binding protein acid labile subunit ",3.04,1.6,0,0,"up","GO:0005515(protein binding);GO:0005654(nucleoplasm);GO:0042567(insulin-like growth factor ternary complex)",NA,"K17256",NA,"yes"
"97","Hormones/growth factors","ENSBTAG00000005596","Growth Factor","","","IGFBP2","insulin like growth factor binding protein 2 ",3.23,1.69,0,0,"up","GO:0005520(insulin-like growth factor binding);GO:0005576(extracellular region);GO:0005615(extracellular space);GO:0019838(growth factor binding);GO:0031994(insulin-like growth factor I binding);GO:0031995(insulin-like growth factor II binding);GO:0032868(response to insulin);GO:0040008(regulation of growth);GO:0042104(positive regulation of activated T cell proliferation);GO:0043567(regulation of insulin-like growth factor receptor signaling pathway)",NA,NA,NA,"yes"
"98","Hormones/growth factors","ENSBTAG00000021467","Growth Factor","","","IGFBP6","insulin like growth factor binding protein 6 ",2.24,1.17,0,0,"up","GO:0001968(fibronectin binding);GO:0005520(insulin-like growth factor binding);GO:0005576(extracellular region);GO:0005615(extracellular space);GO:0031994(insulin-like growth factor I binding);GO:0031995(insulin-like growth factor II binding);GO:0042568(insulin-like growth factor binary complex);GO:0043567(regulation of insulin-like growth factor receptor signaling pathway)",NA,NA,NA,"yes"
"99","Hormones/growth factors","ENSBTAG00000003994","Growth Factor","","","IGFBP3","insulin like growth factor binding protein 3 ",2.02,1.01,0,0,"up","GO:0001558(regulation of cell growth);GO:0001649(osteoblast differentiation);GO:0001933(negative regulation of protein phosphorylation);GO:0001968(fibronectin binding);GO:0005520(insulin-like growth factor binding);GO:0005576(extracellular region);GO:0005615(extracellular space);GO:0005634(nucleus);GO:0006468(protein phosphorylation);GO:0008160(protein tyrosine phosphatase activator activity);GO:0008285(negative regulation of cell population proliferation);GO:0010906(regulation of glucose metabolic process);GO:0014912(negative regulation of smooth muscle cell migration);GO:0019838(growth factor binding);GO:0031994(insulin-like growth factor I binding);GO:0031995(insulin-like growth factor II binding);GO:0032868(response to insulin);GO:0040008(regulation of growth);GO:0042567(insulin-like growth factor ternary complex);GO:0043065(positive regulation of apoptotic process);GO:0043410(positive regulation of MAPK cascade);GO:0043567(regulation of insulin-like growth factor receptor signaling pathway);GO:0043568(positive regulation of insulin-like growth factor receptor signaling pathway);GO:0043666(regulation of phosphoprotein phosphatase activity);GO:0044342(type B pancreatic cell proliferation);GO:0045663(positive regulation of myoblast differentiation);GO:0048662(negative regulation of smooth muscle cell proliferation)","04115(p53 signaling pathway);04218(Cellular senescence);05202(Transcriptional misregulation in cancer)","K10138",NA,"yes"
"100","Hormones/growth factors","ENSBTAG00000009513","Growth Factor","","","TGFBI","transforming growth factor beta induced ",2,1,0,0,"up","GO:0001525(angiogenesis);GO:0005178(integrin binding);GO:0005515(protein binding);GO:0005518(collagen binding);GO:0005576(extracellular region);GO:0005615(extracellular space);GO:0005802(trans-Golgi network);GO:0007155(cell adhesion);GO:0008283(cell population proliferation);GO:0030198(extracellular matrix organization);GO:0031012(extracellular matrix);GO:0050839(cell adhesion molecule binding);GO:0050840(extracellular matrix binding)",NA,"K19519",NA,"yes"
"101","Hormones/growth factors","ENSBTAG00000051898","growth factor","","","FGF7","fibroblast growth factor 7 ",0.32,-1.66,0.02,0.06,"down","GO:0005104(fibroblast growth factor receptor binding);GO:0005576(extracellular region);GO:0005794(Golgi apparatus);GO:0008083(growth factor activity);GO:0008284(positive regulation of cell population proliferation);GO:0008543(fibroblast growth factor receptor signaling pathway);GO:0010463(mesenchymal cell proliferation);GO:0010469(regulation of signaling receptor activity);GO:0010838(positive regulation of keratinocyte proliferation);GO:0031069(hair follicle morphogenesis);GO:0031532(actin cytoskeleton reorganization);GO:0034394(protein localization to cell surface);GO:0042056(chemoattractant activity);GO:0045893(positive regulation of transcription, DNA-templated);GO:0050679(positive regulation of epithelial cell proliferation);GO:0050731(positive regulation of peptidyl-tyrosine phosphorylation);GO:0050918(positive chemotaxis);GO:0051549(positive regulation of keratinocyte migration);GO:0060445(branching involved in salivary gland morphogenesis);GO:0060501(positive regulation of epithelial cell proliferation involved in lung morphogenesis);GO:0060665(regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling);GO:0061033(secretion by lung epithelial cell involved in lung growth)","04010(MAPK signaling pathway);04014(Ras signaling pathway);04015(Rap1 signaling pathway);04151(PI3K-Akt signaling pathway);04810(Regulation of actin cytoskeleton);05200(Pathways in cancer);05218(Melanoma);05224(Breast cancer);05226(Gastric cancer)","K04358",NA,"yes"
"102","Hormones/growth factors","ENSBTAG00000005162","growth factor ","endosomal trafficking of the epidermal growth factor receptor","","STX19","syntaxin 19 ",0.31,-1.69,0.04,0.09,"down","GO:0000149(SNARE binding);GO:0005484(SNAP receptor activity);GO:0005737(cytoplasm);GO:0005886(plasma membrane);GO:0006886(intracellular protein transport);GO:0006887(exocytosis);GO:0006906(vesicle fusion);GO:0008021(synaptic vesicle);GO:0012505(endomembrane system);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0016192(vesicle-mediated transport);GO:0031201(SNARE complex);GO:0031629(synaptic vesicle fusion to presynaptic active zone membrane);GO:0042734(presynaptic membrane);GO:0048278(vesicle docking);GO:0048787(presynaptic active zone membrane)","04130(SNARE interactions in vesicular transport)","K08487",NA,"yes"
"107","Protein synthesis/modifications","ENSBTAG00000039285","protein  modification","use dephosphorylated casein as substrate 10.1016/0167-4838(82)90498-8. The permeability characteristics of the Golgi membrane to ATP and Ca2+ therefore have a possible regulatory influence on casein kinase activity.doi: 10.1042/bj2190181.. https://doi.org/10.1046/j.1432-1033.2003.03755.x","CK1","ENSBTAG00000039285","casein kinase I ",1186.58,10.21,0,0,"up","GO:0004672(protein kinase activity);GO:0005524(ATP binding);GO:0006468(protein phosphorylation)","04310(Wnt signaling pathway);04340(Hedgehog signaling pathway);05165(Human papillomavirus infection);05224(Breast cancer);05225(Hepatocellular carcinoma);05226(Gastric cancer)","K08957","EC:2.7.11.1","yes"
"108","Protein synthesis/modifications","ENSBTAG00000017948","transcription elongation/protein modification"," transcriptional repressor/forming ubiquination substrate complex","","SPIN4","spindlin family member 4 ",804.82,9.65,0.04,0.1,"up","GO:0005654(nucleoplasm);GO:0005829(cytosol);GO:0007276(gamete generation);GO:0035064(methylated histone binding)",NA,NA,NA,"yes"
"109","Protein synthesis/modifications","ENSBTAG00000009444","protein transport","Proton oligopeptide cotransporter","","SLC15A5","solute carrier family 15 member 5 ",387.52,8.6,0.01,0.04,"up","GO:0015333(peptide:proton symporter activity);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0022857(transmembrane transporter activity);GO:0035672(oligopeptide transmembrane transport);GO:0035673(oligopeptide transmembrane transporter activity);GO:0042886(amide transport);GO:0055085(transmembrane transport);GO:1902600(proton transmembrane transport);GO:1904680(peptide transmembrane transporter activity)",NA,"K14639",NA,"yes"
"110","Protein synthesis/modifications","ENSBTAG00000005337","Protein transport.","","","RAB3B","RAB3B, member RAS oncogene family ",2.2,1.14,0,0.01,"up","GO:0000166(nucleotide binding);GO:0003924(GTPase activity);GO:0005525(GTP binding);GO:0005737(cytoplasm);GO:0005768(endosome);GO:0005794(Golgi apparatus);GO:0005886(plasma membrane);GO:0006886(intracellular protein transport);GO:0006904(vesicle docking involved in exocytosis);GO:0008021(synaptic vesicle);GO:0009306(protein secretion);GO:0015031(protein transport);GO:0016020(membrane);GO:0017157(regulation of exocytosis);GO:0018125(peptidyl-cysteine methylation);GO:0019003(GDP binding);GO:0019882(antigen processing and presentation);GO:0030141(secretory granule);GO:0030742(GTP-dependent protein binding);GO:0031489(myosin V binding);GO:0031982(vesicle);GO:0032482(Rab protein signal transduction);GO:0048471(perinuclear region of cytoplasm);GO:0051586(positive regulation of dopamine uptake involved in synaptic transmission);GO:0072659(protein localization to plasma membrane);GO:0097494(regulation of vesicle size);GO:0098691(dopaminergic synapse);GO:0098693(regulation of synaptic vesicle cycle);GO:0098993(anchored component of synaptic vesicle membrane)",NA,"K06108",NA,"yes"
"111","Protein synthesis/modifications","ENSBTAG00000021378","protein transport"," the export of proteins that lack a signal peptide","","S100A13","S100 calcium binding protein A13 ",2.13,1.09,0,0,"up","GO:0005507(copper ion binding);GO:0005509(calcium ion binding);GO:0005576(extracellular region);GO:0005615(extracellular space);GO:0005634(nucleus);GO:0005730(nucleolus);GO:0005737(cytoplasm);GO:0005829(cytosol);GO:0005886(plasma membrane);GO:0008144(drug binding);GO:0008270(zinc ion binding);GO:0008289(lipid binding);GO:0015031(protein transport);GO:0017134(fibroblast growth factor binding);GO:0042629(mast cell granule);GO:0042803(protein homodimerization activity);GO:0043123(positive regulation of I-kappaB kinase/NF-kappaB signaling);GO:0043303(mast cell degranulation);GO:0046872(metal ion binding);GO:0048471(perinuclear region of cytoplasm);GO:0050663(cytokine secretion);GO:0050703(interleukin-1 alpha secretion);GO:0050786(RAGE receptor binding);GO:0050786(RAGE receptor binding)",NA,NA,NA,"yes"
"115","Signaling","ENSBTAG00000011224","HIF-1 signaling","nhibits transactivation of HIF1A-induced genes by competing with binding of hypoxia-inducible factor 1-alpha to p300-CH1.","","CITED2","Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 ",2.21,1.14,0,0,"up","GO:0000790(nuclear chromatin);GO:0001102(RNA polymerase II activating transcription factor binding);GO:0001568(blood vessel development);GO:0001570(vasculogenesis);GO:0001666(response to hypoxia);GO:0001701(in utero embryonic development);GO:0001829(trophectodermal cell differentiation);GO:0001841(neural tube formation);GO:0001843(neural tube closure);GO:0001889(liver development);GO:0001892(embryonic placenta development);GO:0001944(vasculature development);GO:0001947(heart looping);GO:0002089(lens morphogenesis in camera-type eye);GO:0002244(hematopoietic progenitor cell differentiation);GO:0002521(leukocyte differentiation);GO:0003151(outflow tract morphogenesis);GO:0003156(regulation of animal organ formation);GO:0003197(endocardial cushion development);GO:0003281(ventricular septum development);GO:0003682(chromatin binding);GO:0003700(DNA-binding transcription factor activity);GO:0003713(transcription coactivator activity);GO:0003714(transcription corepressor activity);GO:0005634(nucleus);GO:0006355(regulation of transcription, DNA-templated);GO:0006357(regulation of transcription by RNA polymerase II);GO:0007179(transforming growth factor beta receptor signaling pathway);GO:0007275(multicellular organism development);GO:0007368(determination of left/right symmetry);GO:0007417(central nervous system development);GO:0007422(peripheral nervous system development);GO:0007507(heart development);GO:0007530(sex determination);GO:0008584(male gonad development);GO:0021602(cranial nerve morphogenesis);GO:0022409(positive regulation of cell-cell adhesion);GO:0030154(cell differentiation);GO:0030325(adrenal gland development);GO:0030511(positive regulation of transforming growth factor beta receptor signaling pathway);GO:0030851(granulocyte differentiation);GO:0035360(positive regulation of peroxisome proliferator activated receptor signaling pathway);GO:0035802(adrenal cortex formation);GO:0035914(skeletal muscle cell differentiation);GO:0043066(negative regulation of apoptotic process);GO:0043627(response to estrogen);GO:0045787(positive regulation of cell cycle);GO:0045893(positive regulation of transcription, DNA-templated);GO:0045944(positive regulation of transcription by RNA polymerase II);GO:0046332(SMAD binding);GO:0046697(decidualization);GO:0048536(spleen development);GO:0048538(thymus development);GO:0048596(embryonic camera-type eye morphogenesis);GO:0048821(erythrocyte development);GO:0060136(embryonic process involved in female pregnancy);GO:0060349(bone morphogenesis);GO:0060411(cardiac septum morphogenesis);GO:0060412(ventricular septum morphogenesis);GO:0060971(embryonic heart tube left/right pattern formation);GO:0061156(pulmonary artery morphogenesis);GO:0061308(cardiac neural crest cell development involved in heart development);GO:0061371(determination of heart left/right asymmetry);GO:0070986(left/right axis specification);GO:1900164(nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry);GO:1903507(negative regulation of nucleic acid-templated transcription);GO:2000020(positive regulation of male gonad development)","04137(Mitophagy - animal)","K21361",NA,"yes"
"119","Cell structure/proliferation","ENSBTAG00000000951","cell structure/ dynamic processes","microtubule binding activity","Golgi apparatus","JAKMIP3","Janus kinase and microtubule interacting protein 3 ",833.41,9.7,0,0,"up","GO:0008017(microtubule binding);GO:0019900(kinase binding);GO:0019900(kinase binding)",NA,NA,NA,"yes"
"120","Cell structure/proliferation","ENSBTAG00000014207","cell structure","ADAMTS10 is required for focal adhesions, epithelial cell-cell junction formation, and microfibril deposition","","ADAMTS10","ADAM metallopeptidase with thrombospondin type 1 motif 10 ",183.64,7.52,0.01,0.02,"up","GO:0004222(metalloendopeptidase activity);GO:0006508(proteolysis);GO:0008233(peptidase activity);GO:0008237(metallopeptidase activity)",NA,"K08625","EC:3.4.24.-","yes"
"121","Cell structure/proliferation","ENSBTAG00000040398","cell structure","Involved in epithelial cell integrity by acting on the maintenance of the actin cytoskeleton. Positively regulates the actin polymerization, by inhibiting the interaction of actin-capping proteins with actin","","KIAA1211","KIAA1211 ortholog ",180.84,7.5,0,0.01,"up",NA,NA,NA,NA,"yes"
"125","immune function","ENSBTAG00000053497","immune","Antimicrobial protein that kills intracellular pathogens.","","GNLY","antimicrobial peptide NK-lysin-like ",2499.36,11.29,0,0,"up","GO:0006968(cellular defense response);GO:0042742(defense response to bacterium);GO:0042742(defense response to bacterium)",NA,NA,NA,"yes"
"126","immune function","ENSBTAG00000015635","immune","","","TNFRSF4","TNF receptor superfamily member 4 ",700.77,9.45,0.03,0.07,"up","GO:0005031(tumor necrosis factor-activated receptor activity);GO:0005515(protein binding);GO:0006954(inflammatory response);GO:0006968(cellular defense response);GO:0009897(external side of plasma membrane);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0030890(positive regulation of B cell proliferation);GO:0033209(tumor necrosis factor-mediated signaling pathway);GO:0042098(T cell proliferation);GO:0043433(negative regulation of DNA-binding transcription factor activity);GO:0045859(regulation of protein kinase activity);GO:0045892(negative regulation of transcription, DNA-templated);GO:0050710(negative regulation of cytokine secretion);GO:0051024(positive regulation of immunoglobulin secretion);GO:0070236(negative regulation of activation-induced cell death of T cells);GO:2001237(negative regulation of extrinsic apoptotic signaling pathway)","04060(Cytokine-cytokine receptor interaction)","K05142",NA,"yes"
"127","immune function","ENSBTAG00000017060","immune response","defects in this gene cause leukocyte adhesion deficiency","","ITGB2","integrin subunit beta 2 ",417.67,8.71,0,0,"up","GO:0001540(amyloid-beta binding);GO:0005178(integrin binding);GO:0005515(protein binding);GO:0005925(focal adhesion);GO:0006909(phagocytosis);GO:0007155(cell adhesion);GO:0007159(leukocyte cell-cell adhesion);GO:0007160(cell-matrix adhesion);GO:0007229(integrin-mediated signaling pathway);GO:0008305(integrin complex);GO:0009986(cell surface);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0016477(cell migration);GO:0019901(protein kinase binding);GO:0030369(ICAM-3 receptor activity);GO:0030593(neutrophil chemotaxis);GO:0031072(heat shock protein binding);GO:0031623(receptor internalization);GO:0032930(positive regulation of superoxide anion generation);GO:0033627(cell adhesion mediated by integrin);GO:0034113(heterotypic cell-cell adhesion);GO:0034687(integrin alphaL-beta2 complex);GO:0035987(endodermal cell differentiation);GO:0038023(signaling receptor activity);GO:0043113(receptor clustering);GO:0043235(receptor complex);GO:0043315(positive regulation of neutrophil degranulation);GO:0044853(plasma membrane raft);GO:0046872(metal ion binding);GO:0050730(regulation of peptidyl-tyrosine phosphorylation);GO:0050839(cell adhesion molecule binding);GO:0071404(cellular response to low-density lipoprotein particle stimulus);GO:0099568(cytoplasmic region);GO:1990266(neutrophil migration)","04015(Rap1 signaling pathway);04145(Phagosome);04390(Hippo signaling pathway);04514(Cell adhesion molecules (CAMs));04610(Complement and coagulation cascades);04650(Natural killer cell mediated cytotoxicity);04670(Leukocyte transendothelial migration);04810(Regulation of actin cytoskeleton);05133(Pertussis);05134(Legionellosis);05140(Leishmaniasis);05144(Malaria);05146(Amoebiasis);05150(Staphylococcus aureus infection);05152(Tuberculosis);05166(Human T-cell leukemia virus 1 infection);05323(Rheumatoid arthritis);05416(Viral myocarditis)","K06464",NA,"yes"
"128","immune function","ENSBTAG00000054461","immune"," It mediates cell-cell interaction during inflammatory responses","ITGAX ","ENSBTAG00000054461","integrin subunit alpha X ",259.91,8.02,0,0.01,"up","GO:0007155(cell adhesion);GO:0008305(integrin complex)","04610(Complement and coagulation cascades);04810(Regulation of actin cytoskeleton);05152(Tuberculosis)","K06462",NA,"yes"
"129","immune function","ENSBTAG00000004840","immune","","","C1S","complement C1s ",210.89,7.72,0.01,0.04,"up","GO:0004252(serine-type endopeptidase activity);GO:0005509(calcium ion binding);GO:0005615(extracellular space);GO:0006508(proteolysis);GO:0006958(complement activation, classical pathway);GO:0008233(peptidase activity);GO:0016787(hydrolase activity);GO:0042802(identical protein binding);GO:0042802(identical protein binding)","04610(Complement and coagulation cascades);05133(Pertussis);05150(Staphylococcus aureus infection);05322(Systemic lupus erythematosus);05322(Systemic lupus erythematosus)","K01331","EC:3.4.21.42","yes"
"130","immune function","ENSBTAG00000053635","immune","activation of immune response; defense response to other organism; and phagocytosis","IGHV4-59","ENSBTAG00000053635","immunoglobulin heavy variable 4-59 ",4.45,2.15,0,0,"up",NA,"04020(Calcium signaling pathway);04064(NF-kappa B signaling pathway);04072(Phospholipase D signaling pathway);04145(Phagosome);04151(PI3K-Akt signaling pathway);04640(Hematopoietic cell lineage);04650(Natural killer cell mediated cytotoxicity);04662(B cell receptor signaling pathway);04664(Fc epsilon RI signaling pathway);04666(Fc gamma R-mediated phagocytosis);04672(Intestinal immune network for IgA production);05140(Leishmaniasis);05143(African trypanosomiasis);05146(Amoebiasis);05150(Staphylococcus aureus infection);05152(Tuberculosis);05169(Epstein-Barr virus infection);05202(Transcriptional misregulation in cancer);05310(Asthma);05320(Autoimmune thyroid disease);05322(Systemic lupus erythematosus);05323(Rheumatoid arthritis);05330(Allograft rejection);05340(Primary immunodeficiency);05414(Dilated cardiomyopathy (DCM));05416(Viral myocarditis)","K06856",NA,"yes"
"131","immune function","ENSBTAG00000014224","immune response","","","IGSF9B","immunoglobulin superfamily member 9B ",4.21,2.07,0,0.01,"up","GO:0005515(protein binding);GO:0007156(homophilic cell adhesion via plasma membrane adhesion molecules);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0019900(kinase binding);GO:0030425(dendrite);GO:0043025(neuronal cell body);GO:0060077(inhibitory synapse);GO:0097151(positive regulation of inhibitory postsynaptic potential);GO:0098982(GABA-ergic synapse);GO:0099560(synaptic membrane adhesion);GO:0099560(synaptic membrane adhesion)",NA,"K22656",NA,"yes"
"132","immune function","ENSBTAG00000019796","immune","May play a role in the immune system processes.","","FCMR","Fc fragment of IgM receptor ",2.37,1.24,0,0,"up","GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0016021(integral component of membrane)",NA,NA,NA,"yes"
"133","immune function","ENSBTAG00000018869","immune response","","","IGSF6","immunoglobulin superfamily member 6 ",2.33,1.22,0.02,0.04,"up","GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0016021(integral component of membrane)",NA,NA,NA,"yes"
